Stay Name,Stay Type,Country,City,Amenities,Price per Night (USD)
Sapphire Hotels,Resort,Germany,Berlin,"24hr Reception, Parking, WiFi, TV, Air Conditioning, Room Service, Spa",385.97
Azure Inn,Business Trips and Meet Stays,UK,Birmingham,"24hr Reception, TV, Air Conditioning, Room Service, Conference Room, Projector Facility",177.08
Vikas Tours,Business Trips and Meet Stays,France,Marseille,"Parking, TV, 24hr Reception, Room Service, WiFi, Conference Room, Business Center",174.22
Majestic Lodge,Business Trips and Meet Stays,Germany,Berlin,"WiFi, TV, Air Conditioning, 24hr Reception, Parking, Business Center",169.64
Imperial Hotels,Business Trips and Meet Stays,India,Hyderabad,"Air Conditioning, Room Service, 24hr Reception, TV, WiFi, Parking, Conference Room, Business Center",204.3
Oceanic Hotels,Hotel,Germany,Frankfurt,"Parking, Room Service, 24hr Reception, WiFi, Concierge",146.51
Skyline Lodge,Business Trips and Meet Stays,Germany,Frankfurt,"Parking, TV, Air Conditioning, Work Desk, Projector Facility",196.16
Oceanic Tours,Resort,USA,Chicago,"Room Service, TV, 24hr Reception, Air Conditioning, Parking, WiFi, Spa, Adventure Sports",312.16
Oceanic Retreat,Resort,Canada,Montreal,"Air Conditioning, WiFi, Parking, Room Service, Adventure Sports",323.07
Imperial Travels,Hotel,Canada,Montreal,"WiFi, TV, 24hr Reception, Laundry Service, Mini Bar",168.64
Maple Hotels,Resort,Japan,Osaka,"24hr Reception, Parking, Room Service, Air Conditioning, Private Beach, Spa",241.77
Paradise Hotels,Resort,USA,New York,"24hr Reception, WiFi, Air Conditioning, TV, Room Service, Parking, Nature Walks",211.14
Golden Retreat,Hotel,France,Marseille,"24hr Reception, TV, Parking, Air Conditioning, WiFi, Laundry Service",156.29
Oceanic Business Rooms,Resort,USA,Chicago,"WiFi, 24hr Reception, Parking, Room Service, Nature Walks, Spa",292.7
Vikas Business Rooms,Resort,Japan,Tokyo,"24hr Reception, TV, WiFi, Nature Walks",381.19
Azure Resort,Hotel,Brazil,São Paulo,"WiFi, Parking, 24hr Reception, Mini Bar, Concierge",169.77
Oceanic Travels,Hotel,France,Marseille,"WiFi, Parking, 24hr Reception, TV, Room Service, Air Conditioning, Laundry Service, Concierge",159.92
Vikas Retreat,Business Trips and Meet Stays,Brazil,São Paulo,"TV, Parking, 24hr Reception, Room Service, WiFi, Projector Facility, Work Desk",192.62
Greenfield Retreat,Vacation Tours and Travels,Australia,Melbourne,"24hr Reception, Room Service, TV, Guided City Tours, Local Cuisine Sampling",50.6
Moonlight Business Rooms,Resort,USA,New York,"Room Service, 24hr Reception, TV, Parking, Adventure Sports, Spa",103.32
Royal Business Rooms,Business Trips and Meet Stays,France,Lyon,"Air Conditioning, Room Service, WiFi, Business Center",112.88
Moonlight Motel,Vacation Tours and Travels,South Africa,Durban,"Room Service, TV, Parking, 24hr Reception, Vehicle Rentals, Guided City Tours",96.29
Skyline Suites,Resort,France,Marseille,"Room Service, Air Conditioning, TV, Spa, Nature Walks",201.14
Maple Travels,Vacation Tours and Travels,Brazil,São Paulo,"TV, Parking, Room Service, Local Cuisine Sampling, Vehicle Rentals",148.64
Cosmic Lodge,Hotel,Germany,Berlin,"Parking, 24hr Reception, Air Conditioning, Mini Bar",135.39
Imperial Resort,Resort,Australia,Sydney,"WiFi, TV, 24hr Reception, Air Conditioning, Parking, Adventure Sports",294.74
Golden Suites,Vacation Tours and Travels,Japan,Kyoto,"24hr Reception, Parking, Room Service, WiFi, TV, Local Cuisine Sampling",97.56
Majestic Suites,Vacation Tours and Travels,UK,Birmingham,"24hr Reception, WiFi, Room Service, TV, Parking, Vehicle Rentals",87.14
Majestic Motel,Hotel,Canada,Vancouver,"WiFi, 24hr Reception, TV, Parking, Room Service, Air Conditioning, Mini Bar, Laundry Service",193.34
Tranquil Travels,Resort,India,Bangalore,"24hr Reception, Room Service, Air Conditioning, WiFi, Private Beach, Spa",110.97
Amber Inn,Vacation Tours and Travels,India,Bangalore,"Parking, 24hr Reception, Air Conditioning, Vehicle Rentals, Guided City Tours",103.81
Moonlight Motel,Business Trips and Meet Stays,Germany,Berlin,"Parking, 24hr Reception, WiFi, Business Center",235.79
Sapphire Lodge,Hotel,India,Delhi,"Parking, WiFi, 24hr Reception, Air Conditioning, TV, Mini Bar, Laundry Service",133.04
Paradise Hotels,Hotel,South Africa,Johannesburg,"WiFi, Parking, 24hr Reception, TV, Room Service, Concierge, Mini Bar",132.03
Royal Inn,Resort,India,Hyderabad,"WiFi, TV, Air Conditioning, 24hr Reception, Adventure Sports, Nature Walks",137.89
Amber Travels,Vacation Tours and Travels,France,Marseille,"Room Service, 24hr Reception, Air Conditioning, Local Cuisine Sampling",132.7
Palm Travels,Vacation Tours and Travels,Canada,Montreal,"Room Service, Parking, Air Conditioning, 24hr Reception, TV, WiFi, Guided City Tours, Local Cuisine Sampling",54.01
Paradise Retreat,Hotel,Australia,Brisbane,"Parking, TV, WiFi, 24hr Reception, Air Conditioning, Mini Bar",146.32
Amber Motel,Hotel,Brazil,Brasília,"Parking, TV, Air Conditioning, Room Service, Mini Bar, Laundry Service",123.32
Palm Travels,Business Trips and Meet Stays,Canada,Montreal,"Room Service, 24hr Reception, Parking, TV, WiFi, Projector Facility",230.41
Vikas Travels,Business Trips and Meet Stays,UK,Birmingham,"24hr Reception, TV, WiFi, Work Desk",123.99
Urban Resort,Vacation Tours and Travels,India,Delhi,"24hr Reception, Air Conditioning, TV, Parking, Vehicle Rentals, Local Cuisine Sampling",143.25
Heritage Resort,Resort,Japan,Osaka,"WiFi, Air Conditioning, 24hr Reception, Parking, Room Service, TV, Private Beach",210.04
Palm Inn,Vacation Tours and Travels,Germany,Berlin,"WiFi, 24hr Reception, Air Conditioning, Parking, TV, Room Service, Guided City Tours, Local Cuisine Sampling",74.97
Tranquil Resort,Resort,Japan,Kyoto,"TV, Air Conditioning, 24hr Reception, Parking, Spa",261.27
Sunset Motel,Business Trips and Meet Stays,USA,Miami,"24hr Reception, WiFi, Air Conditioning, Parking, Conference Room, Work Desk",212.6
Greenfield Retreat,Hotel,Australia,Brisbane,"Parking, Room Service, TV, Mini Bar, Laundry Service",130.65
Azure Suites,Resort,Japan,Osaka,"TV, 24hr Reception, Parking, WiFi, Room Service, Nature Walks, Private Beach",199.02
Skyline Tours,Resort,India,Hyderabad,"Room Service, Air Conditioning, 24hr Reception, Parking, WiFi, Nature Walks, Spa",202.77
Greenfield Lodge,Business Trips and Meet Stays,South Africa,Durban,"WiFi, TV, Parking, Air Conditioning, Business Center, Work Desk",168.79
Sapphire Retreat,Resort,South Africa,Johannesburg,"TV, 24hr Reception, Parking, Room Service, Air Conditioning, WiFi, Spa",100.7
Imperial Business Rooms,Vacation Tours and Travels,Australia,Melbourne,"24hr Reception, TV, Room Service, Parking, Air Conditioning, Vehicle Rentals, Guided City Tours",67.88
Royal Travels,Resort,Germany,Berlin,"WiFi, Parking, Air Conditioning, Nature Walks, Private Beach",181.66
Urban Resort,Resort,South Africa,Cape Town,"Parking, Room Service, WiFi, 24hr Reception, Adventure Sports",124.74
Majestic Tours,Resort,Japan,Tokyo,"WiFi, TV, Parking, Private Beach",210.6
Tranquil Lodge,Hotel,India,Hyderabad,"Parking, Air Conditioning, WiFi, TV, 24hr Reception, Concierge",99.88
Palm Tours,Business Trips and Meet Stays,India,Hyderabad,"Parking, Air Conditioning, TV, Room Service, Business Center, Work Desk",223.58
Golden Hotels,Hotel,Germany,Berlin,"WiFi, TV, Room Service, Parking, Air Conditioning, Mini Bar",199.15
Maple Suites,Vacation Tours and Travels,South Africa,Johannesburg,"TV, Parking, Air Conditioning, 24hr Reception, Room Service, WiFi, Guided City Tours, Local Cuisine Sampling",110.68
Heritage Lodge,Business Trips and Meet Stays,Brazil,São Paulo,"WiFi, 24hr Reception, Air Conditioning, Room Service, TV, Projector Facility",92.22
Vikas Suites,Resort,Canada,Vancouver,"WiFi, Air Conditioning, 24hr Reception, Parking, Private Beach, Spa",249.15
Golden Travels,Business Trips and Meet Stays,Canada,Vancouver,"WiFi, 24hr Reception, Room Service, Air Conditioning, TV, Parking, Work Desk, Projector Facility",112.06
Skyline Inn,Resort,Brazil,Rio de Janeiro,"Room Service, WiFi, Parking, TV, Private Beach",296.72
Oceanic Business Rooms,Vacation Tours and Travels,Germany,Munich,"24hr Reception, WiFi, Air Conditioning, Guided City Tours",110.97
Tranquil Retreat,Vacation Tours and Travels,UK,Birmingham,"TV, WiFi, 24hr Reception, Parking, Room Service, Air Conditioning, Guided City Tours, Vehicle Rentals",148.45
Palm Motel,Hotel,South Africa,Cape Town,"TV, WiFi, Air Conditioning, Laundry Service",179.0
Tranquil Tours,Business Trips and Meet Stays,South Africa,Durban,"Parking, 24hr Reception, WiFi, TV, Room Service, Conference Room",118.64
Greenfield Hotels,Resort,Australia,Melbourne,"TV, Air Conditioning, WiFi, Parking, Adventure Sports",382.07
Cosmic Retreat,Resort,India,Delhi,"WiFi, Parking, TV, Air Conditioning, Adventure Sports, Private Beach",309.52
Sunset Tours,Hotel,India,Mumbai,"TV, Air Conditioning, WiFi, Mini Bar, Concierge",124.15
Golden Business Rooms,Resort,Brazil,São Paulo,"WiFi, 24hr Reception, Parking, TV, Room Service, Adventure Sports, Private Beach",397.49
Royal Retreat,Resort,Canada,Toronto,"TV, 24hr Reception, WiFi, Private Beach, Adventure Sports",144.07
Sapphire Inn,Hotel,Germany,Munich,"Room Service, Parking, WiFi, TV, Laundry Service, Mini Bar",52.88
Majestic Suites,Business Trips and Meet Stays,Brazil,Rio de Janeiro,"Parking, 24hr Reception, TV, Air Conditioning, Room Service, Business Center",227.76
Vikas Retreat,Vacation Tours and Travels,USA,New York,"TV, Parking, WiFi, Guided City Tours",123.53
Amber Hotels,Resort,Germany,Frankfurt,"TV, Air Conditioning, Room Service, WiFi, Parking, Adventure Sports, Spa",277.57
Amber Travels,Vacation Tours and Travels,UK,London,"24hr Reception, TV, Room Service, Air Conditioning, Local Cuisine Sampling, Guided City Tours",149.96
Royal Travels,Vacation Tours and Travels,India,Mumbai,"Air Conditioning, 24hr Reception, Parking, WiFi, TV, Room Service, Guided City Tours, Local Cuisine Sampling",145.06
Vikas Suites,Business Trips and Meet Stays,France,Marseille,"24hr Reception, Air Conditioning, Room Service, Business Center, Work Desk",82.41
Palm Travels,Vacation Tours and Travels,France,Paris,"Room Service, Parking, Air Conditioning, TV, WiFi, 24hr Reception, Vehicle Rentals",148.87
Paradise Retreat,Vacation Tours and Travels,USA,Chicago,"24hr Reception, TV, Parking, Vehicle Rentals",82.19
Urban Lodge,Resort,India,Bangalore,"Room Service, WiFi, 24hr Reception, TV, Parking, Private Beach, Spa",129.04
Maple Retreat,Business Trips and Meet Stays,Germany,Munich,"Parking, Air Conditioning, TV, Room Service, 24hr Reception, WiFi, Work Desk",141.93
Skyline Retreat,Resort,Australia,Brisbane,"24hr Reception, WiFi, Air Conditioning, Room Service, TV, Parking, Spa",144.33
Greenfield Hotels,Vacation Tours and Travels,Australia,Brisbane,"Air Conditioning, 24hr Reception, WiFi, Parking, TV, Room Service, Vehicle Rentals",68.69
Tranquil Resort,Vacation Tours and Travels,Brazil,São Paulo,"Air Conditioning, Parking, 24hr Reception, Local Cuisine Sampling, Vehicle Rentals",91.45
Golden Business Rooms,Vacation Tours and Travels,USA,Chicago,"24hr Reception, Room Service, WiFi, TV, Local Cuisine Sampling, Vehicle Rentals",32.14
Imperial Motel,Business Trips and Meet Stays,USA,Chicago,"TV, 24hr Reception, WiFi, Room Service, Parking, Conference Room",139.39
Moonlight Hotels,Resort,Brazil,Brasília,"Parking, 24hr Reception, Room Service, Nature Walks, Adventure Sports",388.08
Paradise Tours,Resort,India,Hyderabad,"Parking, Room Service, Air Conditioning, WiFi, 24hr Reception, TV, Private Beach",356.92
Skyline Tours,Vacation Tours and Travels,Canada,Vancouver,"WiFi, Air Conditioning, TV, Room Service, Parking, 24hr Reception, Guided City Tours",105.48
Imperial Resort,Vacation Tours and Travels,France,Marseille,"24hr Reception, Room Service, WiFi, Parking, TV, Guided City Tours, Vehicle Rentals",136.24
Oceanic Tours,Vacation Tours and Travels,Australia,Melbourne,"24hr Reception, Parking, Air Conditioning, Guided City Tours",144.72
Oceanic Retreat,Resort,South Africa,Durban,"TV, Parking, Air Conditioning, WiFi, Room Service, Spa",196.75
Moonlight Inn,Resort,Japan,Osaka,"WiFi, Air Conditioning, Parking, 24hr Reception, Spa, Nature Walks",119.38
Sunset Tours,Resort,Australia,Sydney,"Room Service, Parking, 24hr Reception, WiFi, TV, Air Conditioning, Private Beach, Nature Walks",350.65
Cosmic Tours,Business Trips and Meet Stays,Germany,Munich,"24hr Reception, Room Service, TV, Work Desk, Projector Facility",238.89
Heritage Tours,Vacation Tours and Travels,Germany,Munich,"24hr Reception, TV, Room Service, Air Conditioning, Vehicle Rentals",98.33
Palm Motel,Resort,Brazil,Brasília,"Air Conditioning, Room Service, WiFi, TV, 24hr Reception, Parking, Adventure Sports",371.98
Sapphire Motel,Resort,Germany,Berlin,"WiFi, Parking, Room Service, Air Conditioning, Private Beach, Spa",300.17
Azure Business Rooms,Hotel,Brazil,São Paulo,"WiFi, TV, Parking, 24hr Reception, Mini Bar, Laundry Service",68.77
Sunset Motel,Hotel,UK,London,"Parking, Air Conditioning, WiFi, 24hr Reception, TV, Laundry Service, Concierge",61.68
Paradise Inn,Vacation Tours and Travels,USA,Chicago,"Air Conditioning, WiFi, 24hr Reception, TV, Parking, Room Service, Guided City Tours",64.58
Heritage Tours,Vacation Tours and Travels,France,Marseille,"Room Service, Air Conditioning, Parking, TV, Local Cuisine Sampling",84.84
Majestic Travels,Business Trips and Meet Stays,Canada,Montreal,"WiFi, Room Service, Air Conditioning, Parking, Work Desk",180.64
Vikas Inn,Vacation Tours and Travels,South Africa,Cape Town,"Parking, Room Service, WiFi, 24hr Reception, TV, Air Conditioning, Guided City Tours",112.21
Amber Inn,Resort,Japan,Kyoto,"Parking, WiFi, Room Service, TV, Adventure Sports, Spa",113.57
Cosmic Suites,Business Trips and Meet Stays,South Africa,Johannesburg,"Parking, WiFi, Room Service, TV, 24hr Reception, Air Conditioning, Business Center",212.09
Vikas Resort,Vacation Tours and Travels,Germany,Berlin,"Air Conditioning, TV, 24hr Reception, Room Service, Parking, Vehicle Rentals",118.6
Skyline Inn,Business Trips and Meet Stays,Australia,Brisbane,"Room Service, TV, 24hr Reception, Conference Room, Business Center",177.33
Golden Lodge,Hotel,Canada,Vancouver,"24hr Reception, Air Conditioning, Room Service, TV, WiFi, Parking, Concierge, Laundry Service",53.41
Palm Tours,Business Trips and Meet Stays,India,Mumbai,"TV, 24hr Reception, WiFi, Room Service, Parking, Air Conditioning, Business Center, Conference Room",150.89
Greenfield Resort,Vacation Tours and Travels,USA,Miami,"Air Conditioning, 24hr Reception, Room Service, WiFi, TV, Guided City Tours, Vehicle Rentals",132.77
Azure Lodge,Resort,USA,New York,"Room Service, Parking, TV, WiFi, 24hr Reception, Air Conditioning, Nature Walks, Private Beach",163.62
Paradise Motel,Resort,Brazil,Brasília,"24hr Reception, Room Service, Air Conditioning, Nature Walks",171.06
Moonlight Resort,Business Trips and Meet Stays,Canada,Vancouver,"TV, Parking, WiFi, Air Conditioning, 24hr Reception, Projector Facility",114.84
Palm Hotels,Business Trips and Meet Stays,South Africa,Cape Town,"WiFi, 24hr Reception, Parking, Air Conditioning, Business Center, Projector Facility",190.83
Royal Retreat,Vacation Tours and Travels,France,Lyon,"TV, Room Service, WiFi, Parking, 24hr Reception, Guided City Tours",53.13
Sapphire Inn,Resort,Australia,Melbourne,"24hr Reception, WiFi, Room Service, Air Conditioning, Parking, TV, Nature Walks, Spa",366.43
Moonlight Lodge,Hotel,Germany,Berlin,"TV, Room Service, Parking, 24hr Reception, Concierge",196.73
Majestic Lodge,Vacation Tours and Travels,Japan,Tokyo,"24hr Reception, WiFi, Room Service, Local Cuisine Sampling, Guided City Tours",102.33
Greenfield Travels,Hotel,Australia,Sydney,"WiFi, 24hr Reception, TV, Room Service, Laundry Service, Concierge",170.99
Heritage Inn,Vacation Tours and Travels,Germany,Munich,"Air Conditioning, Parking, WiFi, Guided City Tours, Vehicle Rentals",71.81
Paradise Travels,Business Trips and Meet Stays,France,Marseille,"Room Service, Parking, Air Conditioning, TV, WiFi, Conference Room",163.48
Paradise Resort,Vacation Tours and Travels,USA,Los Angeles,"Room Service, 24hr Reception, WiFi, Air Conditioning, Parking, TV, Guided City Tours, Local Cuisine Sampling",70.56
Paradise Lodge,Vacation Tours and Travels,UK,Birmingham,"WiFi, TV, Parking, Guided City Tours, Local Cuisine Sampling",56.48
Skyline Lodge,Hotel,USA,Los Angeles,"24hr Reception, TV, Air Conditioning, Room Service, WiFi, Mini Bar, Concierge",121.23
Vikas Retreat,Business Trips and Meet Stays,Australia,Brisbane,"WiFi, Parking, 24hr Reception, TV, Air Conditioning, Room Service, Business Center, Projector Facility",149.67
Heritage Travels,Business Trips and Meet Stays,India,Delhi,"Parking, Air Conditioning, 24hr Reception, TV, Room Service, Business Center",103.4
Heritage Business Rooms,Business Trips and Meet Stays,Canada,Toronto,"WiFi, Parking, TV, Room Service, 24hr Reception, Business Center, Conference Room",157.43
Urban Suites,Resort,Germany,Munich,"TV, 24hr Reception, Room Service, Air Conditioning, Parking, Private Beach",321.91
Skyline Hotels,Vacation Tours and Travels,Australia,Melbourne,"TV, WiFi, Parking, 24hr Reception, Room Service, Air Conditioning, Local Cuisine Sampling, Guided City Tours",137.75
Majestic Suites,Resort,Germany,Munich,"24hr Reception, WiFi, TV, Air Conditioning, Spa, Adventure Sports",255.74
Majestic Motel,Business Trips and Meet Stays,Canada,Vancouver,"24hr Reception, Parking, TV, Air Conditioning, Projector Facility, Conference Room",189.94
Sunset Travels,Resort,Australia,Brisbane,"TV, Parking, Air Conditioning, WiFi, 24hr Reception, Spa",396.59
Sunset Retreat,Vacation Tours and Travels,India,Mumbai,"Parking, TV, WiFi, 24hr Reception, Vehicle Rentals",48.75
Azure Retreat,Resort,UK,Birmingham,"24hr Reception, TV, Room Service, Private Beach, Nature Walks",254.08
Greenfield Tours,Resort,France,Marseille,"Air Conditioning, Room Service, WiFi, Parking, Adventure Sports, Spa",309.34
Skyline Hotels,Hotel,Japan,Tokyo,"WiFi, Room Service, Air Conditioning, Parking, Laundry Service",194.42
Maple Lodge,Resort,Australia,Melbourne,"Parking, TV, WiFi, Spa",111.52
Greenfield Hotels,Resort,Germany,Frankfurt,"Room Service, Parking, TV, 24hr Reception, WiFi, Spa",398.33
Royal Suites,Resort,Japan,Tokyo,"Air Conditioning, Parking, WiFi, Room Service, Adventure Sports, Private Beach",293.81
Sunset Inn,Resort,UK,London,"Parking, TV, 24hr Reception, Room Service, Private Beach",294.93
Skyline Resort,Resort,France,Lyon,"Parking, Air Conditioning, 24hr Reception, Nature Walks, Private Beach",201.03
Oceanic Retreat,Hotel,South Africa,Cape Town,"Air Conditioning, TV, WiFi, Parking, Room Service, 24hr Reception, Laundry Service, Concierge",83.06
Maple Business Rooms,Hotel,Germany,Munich,"Parking, Air Conditioning, WiFi, TV, Mini Bar",94.62
Majestic Business Rooms,Vacation Tours and Travels,South Africa,Johannesburg,"Parking, 24hr Reception, WiFi, Room Service, Air Conditioning, Local Cuisine Sampling, Vehicle Rentals",138.67
Maple Travels,Hotel,South Africa,Johannesburg,"Room Service, WiFi, Parking, 24hr Reception, TV, Laundry Service, Mini Bar",73.09
Sapphire Lodge,Resort,Japan,Osaka,"TV, WiFi, Air Conditioning, Spa, Adventure Sports",249.37
Maple Suites,Resort,USA,Chicago,"24hr Reception, WiFi, Room Service, Parking, TV, Air Conditioning, Nature Walks",369.04
Skyline Resort,Hotel,Germany,Munich,"Room Service, 24hr Reception, WiFi, TV, Air Conditioning, Mini Bar",177.83
Amber Motel,Vacation Tours and Travels,Canada,Toronto,"Room Service, Air Conditioning, WiFi, 24hr Reception, TV, Parking, Vehicle Rentals, Local Cuisine Sampling",84.16
Sunset Hotels,Business Trips and Meet Stays,Japan,Kyoto,"Air Conditioning, Parking, TV, Room Service, 24hr Reception, WiFi, Work Desk, Conference Room",151.33
Oceanic Tours,Hotel,Germany,Munich,"WiFi, Room Service, 24hr Reception, Parking, TV, Air Conditioning, Concierge, Laundry Service",72.38
Palm Inn,Business Trips and Meet Stays,Brazil,Rio de Janeiro,"Parking, TV, Air Conditioning, WiFi, Work Desk",213.51
Sapphire Travels,Business Trips and Meet Stays,UK,London,"Parking, TV, Room Service, WiFi, 24hr Reception, Conference Room, Projector Facility",128.97
Sunset Hotels,Vacation Tours and Travels,South Africa,Durban,"WiFi, Parking, Air Conditioning, TV, 24hr Reception, Local Cuisine Sampling, Vehicle Rentals",113.86
Sapphire Tours,Resort,France,Marseille,"24hr Reception, TV, Parking, Spa, Adventure Sports",280.02
Skyline Business Rooms,Hotel,France,Marseille,"Parking, WiFi, Air Conditioning, Room Service, TV, 24hr Reception, Laundry Service",70.08
Maple Suites,Vacation Tours and Travels,Germany,Munich,"Air Conditioning, WiFi, Room Service, Guided City Tours",97.05
Greenfield Hotels,Vacation Tours and Travels,Australia,Melbourne,"WiFi, TV, 24hr Reception, Air Conditioning, Room Service, Guided City Tours, Local Cuisine Sampling",48.56
Sunset Motel,Hotel,USA,Chicago,"Air Conditioning, TV, 24hr Reception, Room Service, Laundry Service",139.51
Heritage Motel,Resort,UK,Birmingham,"Room Service, 24hr Reception, Parking, Spa, Nature Walks",169.81
Palm Suites,Vacation Tours and Travels,Australia,Brisbane,"Air Conditioning, Parking, WiFi, 24hr Reception, Room Service, TV, Local Cuisine Sampling, Vehicle Rentals",92.45
Sapphire Travels,Business Trips and Meet Stays,Germany,Berlin,"WiFi, Air Conditioning, 24hr Reception, TV, Conference Room",125.31
Majestic Motel,Resort,Germany,Frankfurt,"24hr Reception, TV, Air Conditioning, Parking, Adventure Sports",161.01
Sunset Lodge,Resort,Germany,Munich,"Room Service, Air Conditioning, WiFi, TV, Parking, Private Beach",289.96
Imperial Inn,Business Trips and Meet Stays,Australia,Melbourne,"Air Conditioning, WiFi, TV, Room Service, Business Center, Projector Facility",117.31
Urban Retreat,Resort,UK,Birmingham,"Parking, Air Conditioning, 24hr Reception, Adventure Sports, Nature Walks",289.72
Amber Motel,Vacation Tours and Travels,USA,Chicago,"WiFi, Parking, 24hr Reception, Guided City Tours",59.52
Vikas Suites,Hotel,USA,New York,"TV, 24hr Reception, WiFi, Room Service, Air Conditioning, Mini Bar, Concierge",146.59
Palm Hotels,Resort,Japan,Osaka,"Parking, WiFi, Room Service, TV, 24hr Reception, Air Conditioning, Spa",221.84
Heritage Lodge,Vacation Tours and Travels,South Africa,Durban,"Parking, TV, Room Service, Local Cuisine Sampling, Vehicle Rentals",52.81
Vikas Hotels,Hotel,South Africa,Durban,"Parking, Air Conditioning, 24hr Reception, WiFi, Room Service, Concierge",147.66
Azure Retreat,Resort,UK,Birmingham,"Parking, Air Conditioning, TV, 24hr Reception, WiFi, Private Beach, Adventure Sports",391.6
Urban Inn,Hotel,South Africa,Durban,"Air Conditioning, Room Service, TV, 24hr Reception, WiFi, Mini Bar, Concierge",197.4
Skyline Inn,Resort,Canada,Montreal,"WiFi, Parking, Room Service, Air Conditioning, Spa, Nature Walks",253.75
Maple Lodge,Vacation Tours and Travels,Brazil,Rio de Janeiro,"24hr Reception, Air Conditioning, TV, Parking, Guided City Tours",34.79
Greenfield Suites,Resort,South Africa,Johannesburg,"24hr Reception, Room Service, WiFi, Nature Walks",355.34
Heritage Resort,Vacation Tours and Travels,USA,Miami,"Parking, WiFi, Room Service, Vehicle Rentals",119.48
Heritage Lodge,Hotel,Germany,Berlin,"24hr Reception, Air Conditioning, Room Service, Mini Bar, Laundry Service",105.8
Maple Tours,Resort,USA,Los Angeles,"Parking, Room Service, TV, 24hr Reception, Air Conditioning, WiFi, Spa",244.93
Skyline Motel,Business Trips and Meet Stays,France,Marseille,"TV, Air Conditioning, Room Service, Parking, WiFi, 24hr Reception, Projector Facility",126.94
Golden Travels,Resort,Canada,Toronto,"Parking, Air Conditioning, Room Service, TV, WiFi, 24hr Reception, Adventure Sports",146.19
Sapphire Suites,Vacation Tours and Travels,Japan,Osaka,"Air Conditioning, WiFi, Parking, 24hr Reception, Guided City Tours, Vehicle Rentals",113.71
Paradise Hotels,Resort,France,Paris,"Air Conditioning, TV, Parking, WiFi, 24hr Reception, Nature Walks",374.27
Royal Lodge,Business Trips and Meet Stays,South Africa,Johannesburg,"Room Service, Air Conditioning, WiFi, Conference Room",183.1
Moonlight Resort,Vacation Tours and Travels,UK,Birmingham,"Air Conditioning, TV, Room Service, Parking, Vehicle Rentals",42.0
Paradise Retreat,Hotel,Germany,Munich,"WiFi, Room Service, Air Conditioning, Mini Bar, Laundry Service",107.28
Heritage Tours,Hotel,USA,New York,"Parking, WiFi, Room Service, Concierge, Laundry Service",94.89
Oceanic Retreat,Vacation Tours and Travels,UK,London,"TV, WiFi, Air Conditioning, Room Service, Parking, Vehicle Rentals, Local Cuisine Sampling",73.56
Urban Suites,Resort,France,Lyon,"WiFi, Room Service, 24hr Reception, Air Conditioning, Adventure Sports",163.44
Skyline Travels,Hotel,Brazil,São Paulo,"TV, Parking, Air Conditioning, 24hr Reception, WiFi, Room Service, Laundry Service",160.2
Tranquil Retreat,Hotel,South Africa,Cape Town,"TV, 24hr Reception, Air Conditioning, Room Service, Parking, Laundry Service",111.06
Palm Motel,Hotel,Canada,Toronto,"24hr Reception, WiFi, Parking, TV, Room Service, Air Conditioning, Laundry Service, Concierge",96.36
Moonlight Inn,Business Trips and Meet Stays,Australia,Sydney,"24hr Reception, TV, Parking, Air Conditioning, Room Service, Business Center",140.16
Vikas Tours,Business Trips and Meet Stays,Germany,Berlin,"TV, 24hr Reception, Room Service, Parking, Projector Facility",106.04
Paradise Hotels,Resort,Brazil,Brasília,"Air Conditioning, TV, Parking, Adventure Sports, Nature Walks",252.74
Majestic Motel,Vacation Tours and Travels,France,Paris,"Air Conditioning, 24hr Reception, Room Service, Parking, WiFi, Vehicle Rentals, Guided City Tours",34.34
Palm Hotels,Vacation Tours and Travels,South Africa,Johannesburg,"24hr Reception, Air Conditioning, Parking, WiFi, TV, Guided City Tours, Local Cuisine Sampling",122.07
Paradise Retreat,Business Trips and Meet Stays,France,Marseille,"24hr Reception, Parking, Room Service, TV, Air Conditioning, WiFi, Conference Room",223.52
Vikas Motel,Vacation Tours and Travels,USA,Los Angeles,"TV, Air Conditioning, Room Service, Vehicle Rentals, Guided City Tours",144.26
Urban Travels,Business Trips and Meet Stays,Australia,Sydney,"WiFi, 24hr Reception, Room Service, Parking, Air Conditioning, Work Desk",86.34
Imperial Lodge,Hotel,France,Lyon,"Air Conditioning, Parking, WiFi, Room Service, Concierge",106.84
Azure Suites,Hotel,South Africa,Cape Town,"TV, Parking, WiFi, Room Service, Air Conditioning, Concierge",185.76
Paradise Tours,Hotel,USA,Los Angeles,"TV, 24hr Reception, Parking, WiFi, Room Service, Air Conditioning, Mini Bar, Concierge",92.91
Sapphire Retreat,Business Trips and Meet Stays,South Africa,Johannesburg,"TV, Parking, Air Conditioning, Business Center",150.01
Tranquil Hotels,Business Trips and Meet Stays,South Africa,Durban,"Air Conditioning, WiFi, Parking, Conference Room",155.94
Majestic Hotels,Business Trips and Meet Stays,France,Lyon,"Air Conditioning, 24hr Reception, Room Service, Work Desk, Projector Facility",123.64
Cosmic Business Rooms,Vacation Tours and Travels,France,Marseille,"Room Service, TV, 24hr Reception, WiFi, Air Conditioning, Parking, Vehicle Rentals, Guided City Tours",65.6
Sapphire Travels,Vacation Tours and Travels,Germany,Berlin,"Parking, WiFi, TV, Air Conditioning, 24hr Reception, Vehicle Rentals",109.66
